Fault No.,Fault Name,Level,Car Type,D1,D2,D3,D4,D5,D6,D7,TD,C1
A/C2-012,No.1 A/C CB12 trip,3,"DT-CU2,PM,M,T",AC2 148,CAB 102,AC2 901,,,,,,
A/C2-013,No.1 A/C EFB11 trip,3,"DT-CU2,PM,M,T",AC2 149,CAB 102,AC2 901,,,,,,
A/C2-014,No.1 A/C EFB12 trip,3,"DT-CU2,PM,M,T",AC2 150,CAB 102,AC2 901,,,,,,
A/C2-015,No.1 A/C LFB1 trip,3,"DT-CU2,PM,M,T",AC2 151,CAB 102,AC2 901,,,,,,
A/C2-016,"No.1 A/C FA/RA,EM damper",3,"DT-CU2,PM,M,T",AC2 153,CAB 102,AC2 901,,,,,,
A/C2-017,No.1 A/C EF1 fault stop,3,"DT-CU2,PM,M,T",AC2 154,CAB 102,AC2 901,,,,,,
A/C2-018,No.1 A/C EF1 EFOCR trip,3,"DT-CU2,PM,M,T",AC2 155,CAB 102,AC2 901,,,,,,
A/C2-019,No.1 A/C EF1 INV fault,3,"DT-CU2,PM,M,T",AC2 156,CAB 102,AC2 901,,,,,,
A/C2-020,No.1 A/C EF1 broken down,3,"DT-CU2,PM,M,T",AC2 157,CAB 102,AC2 901,,,,,,
A/C2-021,No.1 A/C EF2 fault stop,3,"DT-CU2,PM,M,T",AC2 158,CAB 102,AC2 901,,,,,,
A/C2-022,No.1 A/C EF2 EFOCR trip,3,"DT-CU2,PM,M,T",AC2 159,CAB 102,AC2 901,,,,,,
A/C2-023,No.1 A/C EF2 INV fault,3,"DT-CU2,PM,M,T",AC2 160,CAB 102,AC2 901,,,,,,
A/C2-024,No.1 A/C EF2 broken down,3,"DT-CU2,PM,M,T",AC2 161,CAB 102,AC2 901,,,,,,
A/C2-025,No.1 A/C CF1 fault stop,3,"DT-CU2,PM,M,T",AC2 162,CAB 102,AC2 901,,,,,,
A/C2-026,No.1 A/C CF1 CFC11 no ans.,3,"DT-CU2,PM,M,T",AC2 164,CAB 102,AC2 901,,,,,,
A/C2-027,No.1 A/C CF1 broken down,3,"DT-CU2,PM,M,T",AC2 165,CAB 102,AC2 901,,,,,,
A/C2-028,No.1 A/C CF2 fault stop,3,"DT-CU2,PM,M,T",AC2 166,CAB 102,AC2 901,,,,,,
A/C2-029,No.1 A/C CF2 CFC12 no ans.,3,"DT-CU2,PM,M,T",AC2 168,CAB 102,AC2 901,,,,,,
A/C2-030,No.1 A/C CF2 broken down,3,"DT-CU2,PM,M,T",AC2 169,CAB 102,AC2 901,,,,,,
A/C2-031,No.1 A/C CP1 fault stop,3,"DT-CU2,PM,M,T",AC2 170,CAB 102,AC2 901,,,,,,
A/C2-032,No.1 A/C CP1 HLPS or CTH,3,"DT-CU2,PM,M,T",AC2 171,CAB 102,AC2 901,,,,,,
A/C2-033,No.1 A/C CP1 CC11 no ans.,3,"DT-CU2,PM,M,T",AC2 172,CAB 102,AC2 901,,,,,,
A/C2-034,No.1 A/C CP1 broken down,3,"DT-CU2,PM,M,T",AC2 173,CAB 102,AC2 901,,,,,,
A/C2-035,No.1 A/C CP2 fault stop,3,"DT-CU2,PM,M,T",AC2 174,CAB 102,AC2 901,,,,,,
A/C2-036,No.1 A/C CP2 HLPS or CTH,3,"DT-CU2,PM,M,T",AC2 175,CAB 102,AC2 901,,,,,,
A/C2-037,No.1 A/C CP2 CC12 no ans.,3,"DT-CU2,PM,M,T",AC2 176,CAB 102,AC2 901,,,,,,
A/C2-038,No.1 A/C CP2 broken down,3,"DT-CU2,PM,M,T",AC2 177,CAB 102,AC2 901,,,,,,
A/C2-039,No.1 A/C CP3 fault stop,3,"DT-CU2,PM,M,T",AC2 178,CAB 102,AC2 901,,,,,,
A/C2-040,No.1 A/C CP3 HLPS or CTH,3,"DT-CU2,PM,M,T",AC2 179,CAB 102,AC2 901,,,,,,
A/C2-041,No.1 A/C CP3 CC13 no ans.,3,"DT-CU2,PM,M,T",AC2 180,CAB 102,AC2 901,,,,,,
A/C2-042,No.1 A/C CP3 broken down,3,"DT-CU2,PM,M,T",AC2 181,CAB 102,AC2 901,,,,,,
A/C2-043,No.1 A/C CP4 fault stop,3,"DT-CU2,PM,M,T",AC2 182,CAB 102,AC2 901,,,,,,
A/C2-044,No.1 A/C CP4 HLPS or CTH,3,"DT-CU2,PM,M,T",AC2 183,CAB 102,AC2 901,,,,,,
A/C2-045,No.1 A/C CP4 CC14 no ans.,3,"DT-CU2,PM,M,T",AC2 184,CAB 102,AC2 901,,,,,,
A/C2-046,No.1 A/C CP4 broken down,3,"DT-CU2,PM,M,T",AC2 185,CAB 102,AC2 901,,,,,,
A/C2-047,No.1 A/C RH fault stop,3,"DT-CU2,PM,M,T",AC2 186,CAB 102,AC2 901,,,,,,
A/C2-048,No.1 A/C RH1 no ans.,3,"DT-CU2,PM,M,T",AC2 188,CAB 102,AC2 901,,,,,,
A/C2-049,No.1 A/C RH broken down,3,"DT-CU2,PM,M,T",AC2 189,CAB 102,AC2 901,,,,,,
A/C2-050,No.2 A/C CB21 trip,3,"DT-CU2,PM,M,T",AC2 190,CAB 102,AC2 901,,,,,,
A/C2-051,No.2 A/C CB22 trip,3,"DT-CU2,PM,M,T",AC2 191,CAB 102,AC2 901,,,,,,
A/C2-052,No.2 A/C EFB21 trip,3,"DT-CU2,PM,M,T",AC2 192,CAB 102,AC2 901,,,,,,
A/C2-053,No.2 A/C EFB22 trip,3,"DT-CU2,PM,M,T",AC2 193,CAB 102,AC2 901,,,,,,
A/C2-054,No.2 A/C LFB2 trip,3,"DT-CU2,PM,M,T",AC2 194,CAB 102,AC2 901,,,,,,
A/C2-055,"No.2 A/C FA/RA,EM damper",3,"DT-CU2,PM,M,T",AC2 196,CAB 102,AC2 901,,,,,,
A/C2-056,No.2 A/C EF2 fault stop,3,"DT-CU2,PM,M,T",AC2 197,CAB 102,AC2 901,,,,,,
A/C2-057,No.2 A/C EF2 EFOCR trip,3,"DT-CU2,PM,M,T",AC2 198,CAB 102,AC2 901,,,,,,
A/C2-058,No.2 A/C EF1 INV fault,3,"DT-CU2,PM,M,T",AC2 199,CAB 102,AC2 901,,,,,,
A/C2-059,No.2 A/C EF1 broken down,3,"DT-CU2,PM,M,T",AC2 200,CAB 102,AC2 901,,,,,,
A/C2-060,No.2 A/C EF2 fault stop,3,"DT-CU2,PM,M,T",AC2 201,CAB 102,AC2 901,,,,,,
A/C2-061,No.2 A/C EF2 EFOCR trip,3,"DT-CU2,PM,M,T",AC2 202,CAB 102,AC2 901,,,,,,
A/C2-062,No.2 A/C EF2 INV fault,3,"DT-CU2,PM,M,T",AC2 203,CAB 102,AC2 901,,,,,,
A/C2-063,No.2 A/C EF2 broken down,3,"DT-CU2,PM,M,T",AC2 204,CAB 102,AC2 901,,,,,,
A/C2-064,No.2 A/C CF1 fault stop,3,"DT-CU2,PM,M,T",AC2 205,CAB 102,AC2 901,,,,,,
A/C2-065,No.2 A/C CF1 CFC21 no ans.,3,"DT-CU2,PM,M,T",AC2 207,CAB 102,AC2 901,,,,,,
A/C2-066,No.2 A/C CF1 broken down,3,"DT-CU2,PM,M,T",AC2 208,CAB 102,AC2 901,,,,,,
A/C2-067,No.2 A/C CF2 fault stop,3,"DT-CU2,PM,M,T",AC2 209,CAB 102,AC2 901,,,,,,
A/C2-068,No.2 A/C CF2 CFC22 no ans.,3,"DT-CU2,PM,M,T",AC2 211,CAB 102,AC2 901,,,,,,
A/C2-069,No.2 A/C CF2 broken down,3,"DT-CU2,PM,M,T",AC2 212,CAB 102,AC2 901,,,,,,
A/C2-070,No.2 A/C CP1 fault stop,3,"DT-CU2,PM,M,T",AC2 213,CAB 102,AC2 901,,,,,,
A/C2-071,No.2 A/C CP1 HLPS or CTH,3,"DT-CU2,PM,M,T",AC2 214,CAB 102,AC2 901,,,,,,
A/C2-072,No.2 A/C CP1 CC21 no ans.,3,"DT-CU2,PM,M,T",AC2 215,CAB 102,AC2 901,,,,,,
A/C2-073,No.2 A/C CP1 broken down,3,"DT-CU2,PM,M,T",AC2 216,CAB 102,AC2 901,,,,,,
A/C2-074,No.2 A/C CP2 fault stop,3,"DT-CU2,PM,M,T",AC2 217,CAB 102,AC2 901,,,,,,
A/C2-075,No.2 A/C CP2 HLPS or CTH,3,"DT-CU2,PM,M,T",AC2 218,CAB 102,AC2 901,,,,,,
A/C2-076,No.2 A/C CP2 CC22 no ans.,3,"DT-CU2,PM,M,T",AC2 219,CAB 102,AC2 901,,,,,,
A/C2-077,No.2 A/C CP2 broken down,3,"DT-CU2,PM,M,T",AC2 220,CAB 102,AC2 901,,,,,,
A/C2-078,No.2 A/C CP3 fault stop,3,"DT-CU2,PM,M,T",AC2 221,CAB 102,AC2 901,,,,,,
A/C2-079,No.2 A/C CP3 HLPS or CTH,3,"DT-CU2,PM,M,T",AC2 222,CAB 102,AC2 901,,,,,,
A/C2-080,No.2 A/C CP3 CC23 no ans.,3,"DT-CU2,PM,M,T",AC2 223,CAB 102,AC2 901,,,,,,
A/C2-081,No.2 A/C CP3 broken down,3,"DT-CU2,PM,M,T",AC2 224,CAB 102,AC2 901,,,,,,
A/C2-082,No.2 A/C CP4 fault stop,3,"DT-CU2,PM,M,T",AC2 225,CAB 102,AC2 901,,,,,,
A/C2-083,No.2 A/C CP4 HLPS or CTH,3,"DT-CU2,PM,M,T",AC2 226,CAB 102,AC2 901,,,,,,
A/C2-084,No.2 A/C CP4 CC24 no ans.,3,"DT-CU2,PM,M,T",AC2 227,CAB 102,AC2 901,,,,,,
A/C2-085,No.2 A/C CP4 broken down,3,"DT-CU2,PM,M,T",AC2 228,CAB 102,AC2 901,,,,,,
A/C2-086,No.2 A/C RH fault stop,3,"DT-CU2,PM,M,T",AC2 229,CAB 102,AC2 901,,,,,,
A/C2-087,No.2 A/C RHC2 no ans.,3,"DT-CU2,PM,M,T",AC2 231,CAB 102,AC2 901,,,,,,
A/C2-088,No.2 A/C RH broken down,3,"DT-CU2,PM,M,T",AC2 232,CAB 102,AC2 901,,,,,,
A/C2-089,A/C RA sensor fault,3,"DT-CU2,PM,M,T",AC2 233,CAB 102,AC2 901,,,,,,
A/C2-090,A/C wall sensor fault,3,"DT-CU2,PM,M,T",AC2 234,CAB 102,AC2 901,,,,,,
A/C2-091,A/C Humidity sensor fault,3,"DT-CU2,PM,M,T",AC2 235,CAB 102,AC2 901,,,,,,
A/C2-092,No.1 A/C Line fans fault stop,3,"DT-CU2,PM,M,T",AC2 244,CAB 102,AC2 901,,,,,,
A/C2-093,No.1 A/C LDC1 No ans.,3,"DT-CU2,PM,M,T",AC2 245,CAB 102,AC2 901,,,,,,
A/C2-094,No.1 A/C LDC1 broken down,3,"DT-CU2,PM,M,T",AC2 246,CAB 102,AC2 901,,,,,,
A/C2-095,No.2 A/C Line fans fault stop,3,"DT-CU2,PM,M,T",AC2 247,CAB 102,AC2 901,,,,,,
A/C2-096,No.2 A/C LDC2 No ans.,3,"DT-CU2,PM,M,T",AC2 248,CAB 102,AC2 901,,,,,,
A/C2-097,No.2 A/C LDC2 broken down,3,"DT-CU2,PM,M,T",AC2 249,CAB 102,AC2 901,,,,,,
A/C2-098,A/C Ventilation damper fault,2,"DT-CU2,PM,M,T",AC2 250,CAB 102,AC2 901,,,,,,
A/C2-099,A/C Emergency Exhaust damper fault,2,"DT-CU2,PM,M,T",AC2 251,CAB 102,AC2 901,,,,,,
A/C2-100,No.1 A/C Fault,2,"DT-CU2,PM,M,T",AC2 902,CAB 102,AC2 901,,,,,,
A/C2-101,No.2 A/C Fault,2,"DT-CU2,PM,M,T",AC2 903,CAB 102,AC2 901,,,,,,
A/C2-102,A/C Sensor Fault,3,"DT-CU2,PM,M,T",AC2 233,U,AC2 234,CAB 102,AC2 901,,,,
A/C2-103,No.1 & No.2 A/C Fault,2,"DT-CU2,PM,M,T",A/C2-100,A/C2-101,,,,,,,
A/C1-500,Both ACCB control failure,2,"DT-CU2,PM,M,T",AC 900,AC 901,CAB 102,,,,,3s,
COM-015,ICP fault,1,DT-CU1,COM 012,,,,,,,,
COM-020,TR transmission fault,2,DT-CU1,COM 100,CAB 900,,,,,,10s,
COM-021,TR transmitter synthesizer failure,2,DT-CU1,COM 102,COM 500,,,,,,,
COM-022,TR transmission power failure,2,DT-CU1,COM 103,COM 500,,,,,,,
COM-025,Both TR Transmission fault,2,DT-CU1,COM 900,CAB 147,,,,,,,
COM-040,Analog DID1 transmission fault(CU1),3,DT-CU1,DID 100,CAB 900,,,,,,10s,
COM-041,Analog DID1 No response(CU1),3,DT-CU1,DID 902,CAB 900,,,,,,,
COM-042,Analog DID1 NAK(CU1),3,DT-CU1,DID 903,CAB 900,,,,,,,
COM-043,Analog DID1 Parity error(CU1),3,DT-CU1,DID 904,CAB 900,,,,,,,
COM-044,Analog DID1 BCC error(CU1),3,DT-CU1,DID 905,CAB 900,,,,,,,
COM-045,Analog DID1 Time Out(CU1),3,DT-CU1,DID 906,CAB 900,,,,,,,
COM-046,Analog DID1 LCD Power Supply(CU1),3,DT-CU1,DID 110,,,,,,,,
COM-048,Analog DID1 IC Error(CU1),3,DT-CU1,DID 112,,,,,,,,
COM-049,Analog DID1 channel select mismatch(CU1),3,DT-CU1,DID 901,,,,,,,3s,
COM-050,Analog DID1 transmission fault(CU2),3,DT-CU2,DID 100,CAB 900,,,,,,10s,
COM-051,Analog DID1 No response(CU2),3,DT-CU2,DID 902,CAB 900,,,,,,,
COM-052,Analog DID1 NAK(CU2),3,DT-CU2,DID 903,CAB 900,,,,,,,
COM-053,Analog DID1 Parity error(CU2),3,DT-CU2,DID 904,CAB 900,,,,,,,
COM-054,Analog DID1 BCC error(CU2),3,DT-CU2,DID 905,CAB 900,,,,,,,
COM-055,Analog DID1 Time Out(CU2),3,DT-CU2,DID 906,CAB 900,,,,,,,
COM-056,Analog DID1 LCD Power Supply(CU2),3,DT-CU2,DID 110,,,,,,,,
COM-058,Analog DID1 IC Error(CU2),3,DT-CU2,DID 112,,,,,,,,
COM-059,Analog DID1 channel select mismatch(CU2),3,DT-CU2,DID 901,,,,,,,3s,
COM-060,Analog DID2 transmission fault(CU1),3,DT-CU1,DID 150,CAB 900,,,,,,10s,
COM-061,Analog DID2 No response(CU1),3,DT-CU1,DID 927,CAB 900,,,,,,,
COM-062,Analog DID2 NAK(CU1),3,DT-CU1,DID 928,CAB 900,,,,,,,
COM-063,Analog DID2 Parity error(CU1),3,DT-CU1,DID 929,CAB 900,,,,,,,
COM-064,Analog DID2 BCC error(CU1),3,DT-CU1,DID 930,CAB 900,,,,,,,
COM-065,Analog DID2 Time Out(CU1),3,DT-CU1,DID 931,CAB 900,,,,,,,
COM-066,Analog DID2 LCD Power Supply(CU1),3,DT-CU1,DID 160,,,,,,,,
COM-068,Analog DID2 IC Error(CU1),3,DT-CU1,DID 162,,,,,,,,
COM-069,Analog DID2 channel select mismatch(CU1),3,DT-CU1,DID 926,,,,,,,3s,
COM-070,Analog DID2 transmission fault(CU2),3,DT-CU2,DID 150,CAB 900,,,,,,10s,
COM-071,Analog DID2 No response(CU2),3,DT-CU2,DID 927,CAB 900,,,,,,,
COM-072,Analog DID2 NAK(CU2),3,DT-CU2,DID 928,CAB 900,,,,,,,
COM-073,Analog DID2 Parity error(CU2),3,DT-CU2,DID 929,CAB 900,,,,,,,
COM-074,Analog DID2 BCC error(CU2),3,DT-CU2,DID 930,CAB 900,,,,,,,
COM-075,Analog DID2 Time Out(CU2),3,DT-CU2,DID 931,CAB 900,,,,,,,
COM-076,Analog DID2 LCD Power Supply(CU2),3,DT-CU2,DID 160,,,,,,,,
COM-078,Analog DID2 IC Error(CU2),3,DT-CU2,DID 162,,,,,,,,
COM-079,Analog DID2 channel select mismatch(CU2),3,DT-CU2,DID 926,,,,,,,3s,
MC-010,NMC transmission fault,3,DT-CU1,MC 100,CAB 103,CAB 900,,,,,10s,
MC-011,NMC CPU Error,3,DT-CU1,MC 108,CAB 103,,,,,,,
MC-012,NMC HDD Read Error,3,DT-CU1,MC 109,CAB 103,,,,,,,
MC-013,NMC Peripheral H/W Error1,3,DT-CU1,MC 110,CAB 103,,,,,,,
MC-014,NMC Contents Error,3,DT-CU1,MC 111,CAB 103,,,,,,,
MC-015,NMC Display Log Error,3,DT-CU1,MC 112,CAB 103,,,,,,,
MC-016,NMC Script Error,3,DT-CU1,MC 113,CAB 103,,,,,,,
MC-017,NMC Peripheral H/W Error2,3,DT-CU1,MC 114,CAB 103,,,,,,,
MC-018,NMC Route Code Error,3,DT-CU1,MC 119,CAB 103,CEN 765,~CEN 764,,,,,
MC-019,NMC Station Code Error,3,DT-CU1,MC 120,CAB 103,CEN 765,~CEN 764,,,,,
MC-021,Both NMC not active,2,DT-CU1,MC 901,CAB 103,CAB 147,,,,,10s,
MC-022,Both NMC transmission fault,2,DT-CU1,MC 900,CAB 103,CAB 147,,,,,,
PID-010,Analog PID1 transmission fault,3,"DT-CU2,PM,M,T",PID 100,CAB 900,,,,,,10s,
PID-011,Analog PID1 No response,3,"DT-CU2,PM,M,T",PID 902,CAB 900,,,,,,,
PID-012,Analog PID1 NAK,3,"DT-CU2,PM,M,T",PID 903,CAB 900,,,,,,,
PID-013,Analog PID1 Parity error,3,"DT-CU2,PM,M,T",PID 904,CAB 900,,,,,,,
PID-014,Analog PID1 BCC error,3,"DT-CU2,PM,M,T",PID 905,CAB 900,,,,,,,
PID-015,Analog PID1 Time Out,3,"DT-CU2,PM,M,T",PID 906,CAB 900,,,,,,,
PID-016,Analog PID1 LCD Power Supply,3,"DT-CU2,PM,M,T",PID 110,,,,,,,,
PID-018,Analog PID1 IC Error,3,"DT-CU2,PM,M,T",PID 112,,,,,,,,
PID-019,Analog PID1 channel select mismatch,3,"DT-CU2,PM,M,T",PID 901,,,,,,,5s,
PID-030,Analog PID2 transmission fault,3,"DT-CU2,PM,M,T",PID 150,CAB 900,,,,,,10s,
PID-031,Analog PID2 No response,3,"DT-CU2,PM,M,T",PID 917,CAB 900,,,,,,,
PID-032,Analog PID2 NAK,3,"DT-CU2,PM,M,T",PID 918,CAB 900,,,,,,,
PID-033,Analog PID2 Parity error,3,"DT-CU2,PM,M,T",PID 919,CAB 900,,,,,,,
PID-034,Analog PID2 BCC error,3,"DT-CU2,PM,M,T",PID 920,CAB 900,,,,,,,
PID-035,Analog PID2 Time Out,3,"DT-CU2,PM,M,T",PID 921,CAB 900,,,,,,,
PID-036,Analog PID2 LCD Power Supply,3,"DT-CU2,PM,M,T",PID 160,,,,,,,,
PID-038,Analog PID2 IC Error,3,"DT-CU2,PM,M,T",PID 162,,,,,,,,
PID-039,Analog PID2 channel select mismatch,3,"DT-CU2,PM,M,T",PID 916,,,,,,,5s,
PID-050,Analog PID3 transmission fault,3,"DT-CU2,PM,M,T",PID 200,CAB 900,,,,,,10s,
PID-051,Analog PID3 No response,3,"DT-CU2,PM,M,T",PID 932,CAB 900,,,,,,,
PID-052,Analog PID3 NAK,3,"DT-CU2,PM,M,T",PID 933,CAB 900,,,,,,,
PID-053,Analog PID3 Parity error,3,"DT-CU2,PM,M,T",PID 934,CAB 900,,,,,,,
PID-054,Analog PID3 BCC error,3,"DT-CU2,PM,M,T",PID 935,CAB 900,,,,,,,
PID-055,Analog PID3 Time Out,3,"DT-CU2,PM,M,T",PID 936,CAB 900,,,,,,,
PID-056,Analog PID3 LCD Power Supply,3,"DT-CU2,PM,M,T",PID 210,,,,,,,,
PID-058,Analog PID3 IC Error,3,"DT-CU2,PM,M,T",PID 212,,,,,,,,
PID-059,Analog PID3 channel select mismatch,3,"DT-CU2,PM,M,T",PID 931,,,,,,,5s,
PID-070,Analog PID4 transmission fault,3,"DT-CU2,PM,M,T",PID 250,CAB 900,,,,,,10s,
PID-071,Analog PID4 No response,3,"DT-CU2,PM,M,T",PID 947,CAB 900,,,,,,,
PID-072,Analog PID4 NAK,3,"DT-CU2,PM,M,T",PID 948,CAB 900,,,,,,,
PID-073,Analog PID4 Parity error,3,"DT-CU2,PM,M,T",PID 949,CAB 900,,,,,,,
PID-074,Analog PID4 BCC error,3,"DT-CU2,PM,M,T",PID 950,CAB 900,,,,,,,
PID-075,Analog PID4 Time Out,3,"DT-CU2,PM,M,T",PID 951,CAB 900,,,,,,,
PID-076,Analog PID4 LCD Power Supply,3,"DT-CU2,PM,M,T",PID 260,,,,,,,,
PID-078,Analog PID4 IC Error,3,"DT-CU2,PM,M,T",PID 262,,,,,,,,
PID-079,Analog PID4 channel select mismatch,3,"DT-CU2,PM,M,T",PID 946,,,,,,,5s,
PID-090,Analog PID5 transmission fault,3,"DT-CU2,PM,M,T",PID 300,CAB 900,,,,,,10s,
PID-091,Analog PID5 No response,3,"DT-CU2,PM,M,T",PID 962,CAB 900,,,,,,,
PID-092,Analog PID5 NAK,3,"DT-CU2,PM,M,T",PID 963,CAB 900,,,,,,,
PID-093,Analog PID5 Parity error,3,"DT-CU2,PM,M,T",PID 964,CAB 900,,,,,,,
PID-094,Analog PID5 BCC error,3,"DT-CU2,PM,M,T",PID 965,CAB 900,,,,,,,
PID-095,Analog PID5 Time Out,3,"DT-CU2,PM,M,T",PID 966,CAB 900,,,,,,,
PID-096,Analog PID5 LCD Power Supply,3,"DT-CU2,PM,M,T",PID 310,,,,,,,,
PID-098,Analog PID5 IC Error,3,"DT-CU2,PM,M,T",PID 312,,,,,,,,
PID-099,Analog PID5 channel select mismatch,3,"DT-CU2,PM,M,T",PID 961,,,,,,,5s,
PID-110,Analog PID6 transmission fault,3,"DT-CU2,PM,M,T",PID 350,CAB 900,,,,,,10s,
PID-111,Analog PID6 No response,3,"DT-CU2,PM,M,T",PID 977,CAB 900,,,,,,,
PID-112,Analog PID6 NAK,3,"DT-CU2,PM,M,T",PID 978,CAB 900,,,,,,,
PID-113,Analog PID6 Parity error,3,"DT-CU2,PM,M,T",PID 979,CAB 900,,,,,,,
PID-114,Analog PID6 BCC error,3,"DT-CU2,PM,M,T",PID 980,CAB 900,,,,,,,
PID-115,Analog PID6 Time Out,3,"DT-CU2,PM,M,T",PID 981,CAB 900,,,,,,,
PID-116,Analog PID6 LCD Power Supply,3,"DT-CU2,PM,M,T",PID 360,,,,,,,,
PID-118,Analog PID6 IC Error,3,"DT-CU2,PM,M,T",PID 362,,,,,,,,
PID-119,Analog PID6 channel select mismatch,3,"DT-CU2,PM,M,T",PID 976,,,,,,,5s,
TNI-010,TNI transmission fault(CU1),2,DT-CU1,DID 200,,,,,,,10s,
TNI-011,TNI transmission fault(CU2),2,DT-CU2,DID 200,,,,,,,10s,
DI-010,DI transmission fault(CU1),2,DT-CU1,DID 250,,,,,,,90s,
DI-011,DI transmission fault(CU2),2,DT-CU2,DID 250,,,,,,,90s,
DI-012,DI Light sensor fault,3,"DT-CU1,DT-CU2",DID 254,,,,,,,,
ETC-010,APC fault,1,PM,ETC 007,ETC 008,ETC 009,,,,,0.2s,
ETC-011,APC Track Coil fail P1,2,PM,ETC 007,~ETC 008,~ETC 009,,,,,0.2s,
ETC-012,APC Track Coil fail P2,2,PM,~ETC 007,ETC 008,~ETC 009,,,,,0.2s,
ETC-013,APC Track Coil fail P3,2,PM,ETC 007,ETC 008,~ETC 009,,,,,0.2s,
ETC-014,APC Track Coil fail P4,2,PM,~ETC 007,~ETC 008,ETC 009,,,,,0.2s,
ETC-015,APC Track Coil fail P5,2,PM,ETC 007,~ETC 008,ETC 009,,,,,0.2s,
ETC-016,APC Track Coil fail P6,2,PM,~ETC 007,ETC 008,ETC 009,,,,,0.2s,
ETC-017,Internal Smoke Detection,1,"DT-CU2,PM,M,T",ETC 107,,,,,,,,
ETC-018,External Smoke Detection,1,"DT-CU2,PM,M,T",ETC 108,,,,,,,,
ETC-020,Main transformer over temp,1,PM,CI 800,,,,,,,,
ETC-021,Main transformer oil flow stop,1,PM,CI 801,,,,,,,,
ETC-022,Primary circuit over current,1,PM,CI 802,,,,,,,,
ETC-023,VCB Trip,1,PM,CI 904,SIV 001,,,,,,,CI 803
ETC-024,Pantograph auto dropped,1,PM,SIV 000,,,,,,,,
ETC-025,Remote Power Supply,2,"DT-CU2,PM,M,T",SIV 007,,,,,,,,
ETC-026,Remote Power Supply fault(PTK),2,"PM,M,T",SIV 007,^,SIV 008,SIV 503,,,,5s,
ETC-027,Pantograph not raising,2,PM,~SIV 001,SIV 902,~CAB 035,,,,,10s,SIV 901
ETC-028,Pantograph not down,2,PM,SIV 001,SIV 903,~CAB 035,,,,,5s,SIV 900
ETC-029,Pantograph Isolate,3,PM,CAB 035,,,,,,,,
ETC-030,Pantograph Isolate Fault,2,PM,CAB 035,^,CAB 023,,,,,2s,
ETC-031,Battery low voltage,2,"M,T",SIV 904,SIV 504,,,,,,5s,
ETC-033,Bat Charger failure,3,"DT-CU2,M,T",SIV 905,~SIV 012,SIV 504,,,,,10s,
ETC-035,Door isolation reset,2,"DT-CU1,DT-CU2",ETC 501,CAB 147,,,,,,,
ETC-036,Loss of overhead voltage,1,"DT-CU1,DT-CU2",SIV 906,SIV 907,CAB 147,,,,,10s,
ETC-037,Overvoltage of VT secondary output,1,PM,CI 905,,,,,,,60s,~SIV 001
ETC-038,Higher voltage of VT secondary output than other,1,PM,CI 906,,,,,,,60s,~SIV 001
DRM-010,DRM transmission fault,3,DT-CU1,DRM 400,CAB 103,CAB 900,,,,,10s,
DRM-011,Both DRM not active,2,DT-CU1,DRM 991,CAB 103,CAB 147,,,,,10s,
DRM-012,Both DRM transmission fault,2,DT-CU1,DRM 990,CAB 103,CAB 147,,,,,,
DRM-013,DRM Network error,3,DT-CU1,DRM 404,DRM 402,,,,,,,
DRM-014,,3,DT-CU1,,,,,,,,,
DRM-015,,3,DT-CU1,,,,,,,,,
DRM-016,,3,DT-CU1,,,,,,,,,
DRM-017,,3,DT-CU1,,,,,,,,,
DRM-018,,3,DT-CU1,,,,,,,,,
DRM-019,,3,DT-CU1,,,,,,,,,
DRM-020,DRM DT1(Car-1) U-side CPU error,3,DT-CU1,DRM 548,DRM 412,,,,,,,
DRM-021,DRM DT1(Car-1) U-side HDD error,3,DT-CU1,DRM 549,DRM 412,,,,,,,
DRM-022,DRM DT1(Car-1) U-side Peripheral H/W error,3,DT-CU1,DRM 550,DRM 412,,,,,,,
DRM-023,DRM DT1(Car-1) U-side Server serious error,3,DT-CU1,DRM 555,DRM 412,,,,,,,
DRM-024,DRM DT1(Car-1) D-side CPU error,3,DT-CU1,DRM 556,DRM 412,,,,,,,
DRM-025,DRM DT1(Car-1) D-side HDD error,3,DT-CU1,DRM 557,DRM 412,,,,,,,
DRM-026,DRM DT1(Car-1) D-side Peripheral H/W error,3,DT-CU1,DRM 558,DRM 412,,,,,,,
DRM-027,DRM DT1(Car-1) D-side Server serious error,3,DT-CU1,DRM 563,DRM 412,,,,,,,
DRM-028,DRM PM1(Car-2) U-side CPU error,3,DT-CU1,DRM 564,DRM 413,,,,,,,
DRM-029,DRM PM1(Car-2) U-side HDD error,3,DT-CU1,DRM 565,DRM 413,,,,,,,
DRM-030,DRM PM1(Car-2) U-side Peripheral H/W error,3,DT-CU1,DRM 566,DRM 413,,,,,,,
DRM-031,DRM PM1(Car-2) U-side Server serious error,3,DT-CU1,DRM 571,DRM 413,,,,,,,
DRM-032,DRM PM1(Car-2) D-side CPU error,3,DT-CU1,DRM 572,DRM 413,,,,,,,
DRM-033,DRM PM1(Car-2) D-side HDD error,3,DT-CU1,DRM 573,DRM 413,,,,,,,
DRM-034,DRM PM1(Car-2) D-side Peripheral H/W error,3,DT-CU1,DRM 574,DRM 413,,,,,,,
DRM-035,DRM PM1(Car-2) D-side Server serious error,3,DT-CU1,DRM 579,DRM 413,,,,,,,
DRM-036,DRM MW1(Car-3) U-side CPU error,3,DT-CU1,DRM 580,DRM 414,,,,,,,
